,VIN,Market_Value_Mean,Market_Value_Std,Count
0,WP1AA2A28CLA02996,22312.47,3907,306
1,JNKBY31A1WM501666,5897.23,1341,5
2,1G4GD2215W4710447,3720.24,485,4
3,1J7FJ36L2KL584801,14458.42,3752,5
4,19UNC1B02KY000197,162235.16,18124,28
5,JA3AH86DX5U021023,30738.44,4880,17
6,1FMDU34XXSZB36600,2999.42,698,24
7,1G1YR2D61F5601697,72794.4,7308,222
8,WUAW2BFC8EN901325,36083.83,5647,171
9,1GNET13H872253156,17601.22,3735,119
10,1FMSU43F92ED08368,13814.46,3861,104
11,SCBZR03D5LCX33212,23316.26,6349,6
12,WDBUF77X59B393215,21416.18,3606,22
13,JM1FD3314P0210521,48808.56,15308,26
14,3VWCF21C3YM461540,3998.47,499,3
15,ZFFSG17A8H0072019,130147.77,22078,10
16,WAUHFAFC2HN102405,44640.94,8057,84
17,WMWMR9C53FT378031,23528.36,3839,43
18,SALAG2D4XCA633153,17936.56,3548,294
19,WBAEB53588CX60818,15078.81,3054,256
20,YV1FX8744H1119389,9000.0,0,1
21,SCFFDECN7CGG13736,92682.82,14079,16
22,JT3XP10V0W0015266,3363.33,777,3
23,6G3F15RW4EL941813,37304.93,5190,227
24,3C3CFFFH5DT752060,13202.71,2842,665
25,JT2SW22N7M0029201,22540.45,4448,7
26,WMWSX9C54DT655070,22132.75,5005,136
27,ZASFAKEV8J7C19862,62528.99,4929,134
28,SCBCP73W88C053754,63402.39,10421,40
29,1G1YW2D71K5102216,68878.98,6442,397
30,1G1YU2DW3B5107172,39369.29,5410,49
31,3VW547AU9GM035614,22001.93,3115,1589
32,JN1AZ36A46M450024,12615.38,2910,442
33,1FAFP42X92F122658,10566.42,2812,238
34,WBAEG2313MCB73842,27944.79,7231,21
35,2C3CDXAT6EH190848,12443.22,2910,437
36,JTJHT00WX43546126,18505.94,4205,83
37,WDBWK73F47F139678,26249.17,5987,22
38,JN1RZ26H0MX501458,9193.06,1740,10
39,JT3HT05J4X0038017,13002.52,3249,62
40,JT3FJ80W5N0048549,16848.1,4677,15
41,WDBHA33G9WF745537,7950.0,0,1
42,WDDGJ7HB7CF865808,34082.08,7727,73
43,1FAFP45X2XF178802,11369.9,3216,100
44,JT3HN86RXY0312514,7515.44,1819,193
45,WBS2U7C55KVB09049,64137.44,4919,172
46,WBS2U7C05M7J64125,72878.2,7535,141
47,SBM11FAA6GW005701,185139.12,19379,57
48,1J4FF47SX1L550677,7269.58,2044,163
49,WBSBK9339WEC42323,19252.19,5467,37
50,WMWSV3C52DT475525,14324.67,3036,1060
51,6G1MK5U2XCL640512,9985.23,2103,39
52,WDBBA48D0HA062037,23602.17,6230,117
53,JF1CX3535NH100509,22981.07,2626,3
54,WBADN53461GC95970,9759.82,2539,13
55,3N1AB51D25L580958,3821.23,723,11
56,TRUWT28N221025000,8662.84,1993,24
57,WDBLK74G72T099875,10904.89,3429,18
58,JM1NA3519M1215169,9707.44,2687,60
59,1ZVBP8CH2A5142033,17675.12,3885,1065
60,WP0CB29811U660764,17852.07,3652,114
61,1J4FY19P3SP222612,8617.28,2157,97
62,SALGS2FE5HA343490,66843.5,8783,781
63,WDDNG77X78A189657,23133.4,4741,101
64,WDDSJ5CBXFN197793,33413.5,4207,156
65,3MW5U7J05L8B28386,52173.41,3390,527
66,WP0AA29911S622014,31410.06,6988,72
67,3GKFK16R4WG500607,4952.43,1615,14
68,WDDGJ7HB4CF803668,34082.08,7727,73
69,WBAEC8411J3267711,13173.36,3917,9
70,4JGAB72E01A236011,4258.12,1123,17
71,JHMCB765XLC031325,2968.15,733,7
72,WDBCB20A8EA051371,5999.5,1224,4
73,3GNEK18R2VG195067,7000.29,2451,45
74,JTJHT00W013507363,14130.58,3573,64
75,1J4FA69S35P309193,19110.45,4209,138
76,WDDYJ7JA7GA007540,98160.54,12289,436
77,JN1CV6AR2DM769499,16154.44,3032,1495
78,1GCEC14W2YZ282697,6832.3,1836,665
79,WP0AB2A94DS122913,86531.47,11303,265
80,WDBUF22X67B065065,8671.61,1781,44
81,WAUGVAFR6BA035549,19528.76,3670,170
82,1G1YY32GXY5117776,20089.16,3850,325
83,1G2WJ12X3RF286724,8744.98,1643,4
84,WBA8J1C58JA485963,35670.84,4224,280
85,WP1AA2A25DLA04030,25117.68,4587,275
86,1FA6P8CF3H5257520,34884.31,4194,4834
87,WBSFV9C51DC772561,37127.29,5231,191
88,JHMAP21415S004727,28972.72,5903,147
89,WBS3R9C57FK333512,45802.17,5631,1089
90,WBAFR9C52BC271300,15022.7,2969,289
91,1G2MB35B46Y117778,12098.19,2851,511
92,WP0CD2Y17NSA85072,107399.76,12337,638
