,VIN,Num_Days
0,WP1AA2A28CLA02996,346
1,JNKBY31A1WM501666,406
2,1G4GD2215W4710447,753
3,1J7FJ36L2KL584801,199
4,19UNC1B02KY000197,325
5,JA3AH86DX5U021023,285
6,1FMDU34XXSZB36600,321
7,1G1YR2D61F5601697,221
8,WUAW2BFC8EN901325,90
9,1GNET13H872253156,433
10,1FMSU43F92ED08368,354
11,SCBZR03D5LCX33212,488
12,WDBUF77X59B393215,504
13,JM1FD3314P0210521,375
14,3VWCF21C3YM461540,629
15,ZFFSG17A8H0072019,224
16,WAUHFAFC2HN102405,272
17,WMWMR9C53FT378031,382
18,SALAG2D4XCA633153,500
19,WBAEB53588CX60818,235
20,YV1FX8744H1119389,140
21,SCFFDECN7CGG13736,110
22,JT3XP10V0W0015266,90
23,HDJ810052058,119
24,6G3F15RW4EL941813,322
25,3C3CFFFH5DT752060,90
26,JT2SW22N7M0029201,626
27,WMWSX9C54DT655070,364
28,ZASFAKEV8J7C19862,354
29,SCBCP73W88C053754,668
30,1G1YW2D71K5102216,369
31,1G1YU2DW3B5107172,523
32,3VW547AU9GM035614,487
33,JN1AZ36A46M450024,90
34,1FAFP42X92F122658,126
35,WBAEG2313MCB73842,742
36,2C3CDXAT6EH190848,607
37,JTJHT00WX43546126,397
38,1FMDE5FP0MLA20138,179
39,WDBWK73F47F139678,773
40,JN1RZ26H0MX501458,648
41,JT3HT05J4X0038017,90
42,JT3FJ80W5N0048549,168
43,4S2CY58Z8M4306114,522
44,WDBHA33G9WF745537,90
45,WDDGJ7HB7CF865808,90
46,1FAFP45X2XF178802,90
47,JT3HN86RXY0312514,90
48,WBS2U7C55KVB09049,244
49,WBS2U7C05M7J64125,90
50,SBM11FAA6GW005701,738
51,1J4FF47SX1L550677,230
52,WBSBK9339WEC42323,600
53,WMWSV3C52DT475525,151
54,6G1MK5U2XCL640512,633
55,WDBBA48D0HA062037,314
56,JF1CX3535NH100509,466
57,WBADN53461GC95970,448
58,3N1AB51D25L580958,286
59,TRUWT28N221025000,553
60,WDBLK74G72T099875,698
61,JM1NA3519M1215169,368
62,1ZVBP8CH2A5142033,90
63,WP0CB29811U660764,90
64,1J4FY19P3SP222612,370
65,SALGS2FE5HA343490,90
66,WDDNG77X78A189657,272
67,WDDSJ5CBXFN197793,90
68,3MW5U7J05L8B28386,224
69,WP0AA29911S622014,634
70,3GKFK16R4WG500607,270
71,WDDGJ7HB4CF803668,441
72,WBAEC8411J3267711,307
73,4JGAB72E01A236011,195
74,JHMCB765XLC031325,588
75,WDBCB20A8EA051371,131
76,3GNEK18R2VG195067,115
77,JTJHT00W013507363,468
78,1J4FA69S35P309193,578
79,WDDYJ7JA7GA007540,725
80,JN1CV6AR2DM769499,482
81,1GCEC14W2YZ282697,242
82,WP0AB2A94DS122913,671
83,WDBUF22X67B065065,564
84,VF320CD6223885978,760
85,WAUGVAFR6BA035549,343
86,1G1YY32GXY5117776,588
87,1G2WJ12X3RF286724,362
88,WBA8J1C58JA485963,175
89,WP1AA2A25DLA04030,237
90,1FA6P8CF3H5257520,90
91,WBSFV9C51DC772561,327
92,JHMAP21415S004727,90
93,WBS3R9C57FK333512,145
94,WBAFR9C52BC271300,406
95,1G2MB35B46Y117778,686
96,KZH1061010974,154
97,WP0CD2Y17NSA85072,90
98,2C3CDZC90GH306741,363
99,WVWCB0536JK010547,543
100,5UXFA13535LB09743,90
101,1GTEC14V24Z218175,90
102,2G1FP22G9W2134761,129
103,1G6D65RP6N0460061,287
104,4USCH3342YLF41936,746
105,JF1GR8H65EL224596,402
106,WAUC4CF53KA057809,487
107,SALGS2EF6EA142445,152
108,WBSDE9340YBZ95796,364
109,JF1ZCAB14E9604010,423
110,JT2AE94V3K0063248,90
111,5YJSA1H26EFP62758,90
112,JHMBB61551C012238,299
113,KZH1061002913,90
114,WBA5B1C54GG133596,369
115,SAJWA79C25SG46282,699
116,WDBEA36E1NB713717,410
117,JF1GR8H6XAL824850,173
118,JM1NA3516M0224367,767
119,5YJ3E1EC6LF586555,94
120,JTEBU5JRXC5106868,572
121,WDDHH7EB4CA597012,230
122,JTJHT00W733532361,230
123,WAUKGBFL1BA006370,90
124,WP1AD29P28LA74081,286
125,5YJSA1H17EFP65983,536
126,WAUPN94E18N011076,654
127,SCA1S68405UX07857,490
128,JT6HJ88J7V0161178,612
129,WUARL48H46K900657,199
130,WBSPM9C52BE203792,774
131,1ZVBP8CU6C5265933,90
132,WBSKG9C56CE798519,165
133,SALPV124XXA412395,524
134,1B7KC23W9WJ239691,644
135,WBABW53426PZ43040,322
136,1ZVBP8CH4A5119689,249
137,3C3CFFFH6FT662595,718
138,3D7LX38C86G218092,90
139,5UXZV8C59BL418202,406
140,WP0AA2A95JS106251,90
141,1FAFP42R54F187026,178
142,3FMTK4SE0MME02980,208
143,1FTCF10E5BNA42599,90
144,SCCWC11158HL80284,739
145,6G2EP57W89L301482,370
146,2P4FH4136HR250441,357
147,JN1RZ26A5LX012538,390
148,WAUUL78E17A011026,525
149,1ZVBP8CU1D5280776,90
150,WDDEJ71X38A015949,537
151,1G1YY26E775130986,264
152,1FMEE5DP7MLA86659,248
153,5UXKS4C55F0N09123,410
154,WBADN6340YGM65513,101
155,1G6KW5RJ5KU141080,377
156,JF1GR7E60DG817997,90
157,1FA6P8JZ4J5504014,96
158,1G1BL52P6TR136245,405
159,WP0AA2A82KS260277,238
160,WP0AB29902S687581,122
161,JA3AN74K7TY005789,90
162,JF2SJGPC5EH406929,285
163,EA11R102700,158
164,5GRGN23U75H132285,161
165,JTEHT05JX32033653,488
166,2CNBE1860T6949032,375
167,WP0AB29896U785171,494
168,ZAMEC38AX50016429,90
169,PF6W-0001436,573
170,WAUF2AFC0EN122635,327
171,JHMAP21467S002023,474
172,WAUHFAFC2HN109564,90
173,WDBCA25E8LA551932,90
174,JTJHY00W284012152,164
175,ZARBB32N5N7000108,175
176,JM1FD3331R0302030,231
177,WBSCL93401LJ80564,182
178,JHMBA424XKC047128,385
179,WBAGJ0342YDD73717,90
180,1FAPP64R1NH140076,493
181,WBAEC8414K3268188,200
182,1G8AJ52F35Z156983,476
183,SCBEC9ZAXEC094765,300
184,WP0CA29926S757843,409
185,WUADU78E48N900089,538
186,2BCCZ8128JB523558,420
187,WAUXL68E45A080345,549
188,WBAEF6320SCC90374,90
189,WAUKG74F36N064831,90
190,2C3LA63HX6H170289,441
191,SADHD2S11K1F62082,90
192,WBA8D9G53HNU60293,125
193,ZAR91600006038234,202
194,1FTSW2BR3AEA68425,412
195, WVGPT77L07D005017,90
196,SALRR2RV4L2415363,507
197,SALMF13446A227451,417
198,1FA6P8CF7H5312762,390
199,WAUWFAFL0BA030478,144
200,WBAEW53473PG22039,242
201,1FTSX31F52EA40475,90
202,LS1410007554,392
203,SALLDHMV8BA278431,152
204,WBAPK5C50AA653658,188
205,WDBWK56FX6F097046,473
206,WBA8B3C33HK777614,656
207,3FADP4GX8EM120534,711
208,6G3F15RW0FL118894,440
209,SALLJGBF8GA446361,126
210,WBABW534X6PZ40838,278
211,4USCH7328VLB78656,739
212,ZAM45KLA4B0059571,777
213,1FABP28T3EF101719,223
214,1ZVBP8JS4B5114444,381
215,1J4FA69S83P353025,350
216,SALMF1E42AA324007,165
217,WBAPT73599CX02428,404
218,PG6SA102508,705
219,WDDEJ77X49A020621,271
220,YV1RH527252463660,374
221,2G2FV32G9X2218104,377
222,JT8BH28F1X0141478,720
223,JM1NB3538X0112933,90
224,1FA6P8JZ5G5521400,193
225,WDBWK54F36F128897,403
226,JM1NB3533X0123127,763
227,WP0AA2A74GL001265,473
228,5TFGZ5AN2HX075412,190
229,WP0CH2A73JL198781,271
230,SALME11415A180500,514
231,WBSDE93411BZ99121,531
232,JHMAP21485S007740,657
233,5YJSA1CN0DFP18626,578
234,WBANB335X4B088071,630
235,2MEHM75W74X687254,314
236,3FADP4GX9HM141008,416
237,WDBEA90E9MF184424,593
238,WDDUG8FB5FA071384,397
239,WBA13BK05MCG06127,180
240,WAUDGAFL3CA085609,424
241,JF1ZNAA18D1713059,663
242,WF0DP3TH8G4115591,91
243,SCFEKBAK4DGC17340,145
244,WP0BA2Y13MSA71267,90
245,JTJHT00W353554604,290
246,1J4GZ58S3RC262771,132
247,JT3HT05J7Y0120793,472
248,1GTHK39F3RE504516,389
249,JHMAP11421T008736,613
250,JT3HT05J4X0055271,542
251,WDDKJ7DB2GF329130,517
252,1J4FY19P7SP247951,228
253,3VW4T7AU1GM061574,297
254,JTJHT00W613511790,193
255,2C3CDYBT5EH247089,266
256,JM1FE173070212148,262
257,JA3AW75K3SY830125,91
258,1FALP54Y7SA160238,529
259,JTJHT00W664003594,307
260,WBAEV53455KM42610,363
261,1MHBP79M9FF612191,228
262,KZJ780030900,311
263,WP0AA2998TS321520,446
264,1ZVHT82H185144406,458
265,6G2VX12U56L553488,733
266, WMWSU9C5XDT721923,146
267,JT4RN01P1K7009014,143
268,JTHBN36F265047516,116
269,1G8EK18H3CF152835,468
270,WVWWA7AU9KW148553,90
271,1GC2GUBG5A1135377,90
272,JN1HZ04S9CX449227,150
273,1FAHP56S24G180380,420
274,1G1Y72D43L5109544,290
275,4JGAB74E2YA168995,734
276,WUARU78E67N900132,139
277,1FADP3L98GL254921,223
278,1FT8W4DT2GEC98092,90
279,2MEFM74V38X644164,301
280,JTEBU5JR3J5500967,236
281,WBSWL93569P332079,90
282,WAUB1GFF7H1054103,657
283,WDDWJ4JB0JF745883,650
284,5YJ3E1EB2JF096733,117
285,JN8HD17Y2SW014463,425
286,WBSFV9C5XFD594324,285
287,1FTFW1R61CFB48200,503
288,JT6HT00W0Y0118776,279
289,WBS3R9C54GK337938,90
290,WP0AB298X6U780352,96
291,WBSBR93494PK06506,131
292,JF1VA2M63G9801496,160
293,1B3BR65E5RV100585,403
294,WBSNB93526B584015,280
295,WUADUAFG9CN002744,180
296,YS3EH55G923038774,90
297,WP0CA298XXU624597,90
298,1FADP3L9XJL332655,535
299,WBAEG21090CB01757,756
300,BG5093112,641
301,137ZA9037XE184825,669
302,SCFFDCBD1BGE02785,599
303,PP11010703,119
304,1G1FJ1R65H0157550,175
305,WAUDGAFL4FA036780,347
306,JTHHP5AY7JA001348,90
307,WBAGG8344YDN77056,377
308,JM1NA3534V0728015,588
309,WDBFA76E4RF087459,90
310,JT3HN86R2W0162945,277
311,WP0AB2A89EK193680,292
312,6G3F25RW4HL300582,588
313,WUABWGFF4J1900359,328
