,VIN,Num_Days,Market_Value_Mean,Market_Value_Std,Count,Count_Over_Days
0,WP1AA2A28CLA02996,346,22312.47,3907,306,0.884393063583815
1,JNKBY31A1WM501666,406,5897.23,1341,5,0.012315270935960592
2,1G4GD2215W4710447,753,3720.24,485,4,0.005312084993359893
6,1J7FJ36L2KL584801,199,14458.42,3752,5,0.02512562814070352
7,19UNC1B02KY000197,325,162235.16,18124,28,0.08615384615384615
8,JA3AH86DX5U021023,285,30738.44,4880,17,0.05964912280701754
9,1FMDU34XXSZB36600,321,2999.42,698,24,0.07476635514018691
10,1G1YR2D61F5601697,221,72794.4,7308,222,1.004524886877828
11,WUAW2BFC8EN901325,90,36083.83,5647,171,1.9
12,1GNET13H872253156,433,17601.22,3735,119,0.2748267898383372
13,1FMSU43F92ED08368,354,13814.46,3861,104,0.2937853107344633
14,SCBZR03D5LCX33212,488,23316.26,6349,6,0.012295081967213115
18,WDBUF77X59B393215,504,21416.18,3606,22,0.04365079365079365
19,JM1FD3314P0210521,375,48808.56,15308,26,0.06933333333333333
20,3VWCF21C3YM461540,629,3998.47,499,3,0.0047694753577106515
21,ZFFSG17A8H0072019,224,130147.77,22078,10,0.044642857142857144
22,WAUHFAFC2HN102405,272,44640.94,8057,84,0.3088235294117647
23,WMWMR9C53FT378031,382,23528.36,3839,43,0.112565445026178
24,SALAG2D4XCA633153,500,17936.56,3548,294,0.588
25,WBAEB53588CX60818,235,15078.81,3054,256,1.0893617021276596
26,YV1FX8744H1119389,140,9000.0,0,1,0.007142857142857143
27,SCFFDECN7CGG13736,110,92682.82,14079,16,0.14545454545454545
31,JT3XP10V0W0015266,90,3363.33,777,3,0.03333333333333333
32,6G3F15RW4EL941813,322,37304.93,5190,227,0.7049689440993789
33,3C3CFFFH5DT752060,90,13202.71,2842,665,7.388888888888889
34,JT2SW22N7M0029201,626,22540.45,4448,7,0.011182108626198083
35,WMWSX9C54DT655070,364,22132.75,5005,136,0.37362637362637363
39,ZASFAKEV8J7C19862,354,62528.99,4929,134,0.3785310734463277
40,SCBCP73W88C053754,668,63402.39,10421,40,0.059880239520958084
41,1G1YW2D71K5102216,369,68878.98,6442,397,1.075880758807588
42,1G1YU2DW3B5107172,523,39369.29,5410,49,0.09369024856596558
43,3VW547AU9GM035614,487,22001.93,3115,1589,3.2628336755646816
44,JN1AZ36A46M450024,90,12615.38,2910,442,4.911111111111111
45,1FAFP42X92F122658,126,10566.42,2812,238,1.8888888888888888
46,WBAEG2313MCB73842,742,27944.79,7231,21,0.02830188679245283
47,2C3CDXAT6EH190848,607,12443.22,2910,437,0.7199341021416804
48,JTJHT00WX43546126,397,18505.94,4205,83,0.20906801007556675
49,WDBWK73F47F139678,773,26249.17,5987,22,0.028460543337645538
50,JN1RZ26H0MX501458,648,9193.06,1740,10,0.015432098765432098
54,JT3HT05J4X0038017,90,13002.52,3249,62,0.6888888888888889
55,JT3FJ80W5N0048549,168,16848.1,4677,15,0.08928571428571429
56,WDBHA33G9WF745537,90,7950.0,0,1,0.011111111111111112
57,WDDGJ7HB7CF865808,90,34082.08,7727,73,0.8111111111111111
58,1FAFP45X2XF178802,90,11369.9,3216,100,1.1111111111111112
59,JT3HN86RXY0312514,90,7515.44,1819,193,2.1444444444444444
60,WBS2U7C55KVB09049,244,64137.44,4919,172,0.7049180327868853
61,WBS2U7C05M7J64125,90,72878.2,7535,141,1.5666666666666667
62,SBM11FAA6GW005701,738,185139.12,19379,57,0.07723577235772358
63,1J4FF47SX1L550677,230,7269.58,2044,163,0.7086956521739131
64,WBSBK9339WEC42323,600,19252.19,5467,37,0.06166666666666667
65,WMWSV3C52DT475525,151,14324.67,3036,1060,7.0198675496688745
66,6G1MK5U2XCL640512,633,9985.23,2103,39,0.061611374407582936
67,WDBBA48D0HA062037,314,23602.17,6230,117,0.37261146496815284
68,JF1CX3535NH100509,466,22981.07,2626,3,0.006437768240343348
69,WBADN53461GC95970,448,9759.82,2539,13,0.029017857142857144
70,3N1AB51D25L580958,286,3821.23,723,11,0.038461538461538464
71,TRUWT28N221025000,553,8662.84,1993,24,0.0433996383363472
72,WDBLK74G72T099875,698,10904.89,3429,18,0.025787965616045846
76,JM1NA3519M1215169,368,9707.44,2687,60,0.16304347826086957
77,1ZVBP8CH2A5142033,90,17675.12,3885,1065,11.833333333333334
78,WP0CB29811U660764,90,17852.07,3652,114,1.2666666666666666
79,1J4FY19P3SP222612,370,8617.28,2157,97,0.26216216216216215
80,SALGS2FE5HA343490,90,66843.5,8783,781,8.677777777777777
81,WDDNG77X78A189657,272,23133.4,4741,101,0.3713235294117647
82,WDDSJ5CBXFN197793,90,33413.5,4207,156,1.7333333333333334
83,3MW5U7J05L8B28386,224,52173.41,3390,527,2.3526785714285716
84,WP0AA29911S622014,634,31410.06,6988,72,0.11356466876971609
85,3GKFK16R4WG500607,270,4952.43,1615,14,0.05185185185185185
86,WDDGJ7HB4CF803668,441,34082.08,7727,73,0.1655328798185941
87,WBAEC8411J3267711,307,13173.36,3917,9,0.029315960912052116
88,4JGAB72E01A236011,195,4258.12,1123,17,0.08717948717948718
89,JHMCB765XLC031325,588,2968.15,733,7,0.011904761904761904
90,WDBCB20A8EA051371,131,5999.5,1224,4,0.030534351145038167
91,3GNEK18R2VG195067,115,7000.29,2451,45,0.391304347826087
92,JTJHT00W013507363,468,14130.58,3573,64,0.13675213675213677
93,1J4FA69S35P309193,578,19110.45,4209,138,0.23875432525951557
94,WDDYJ7JA7GA007540,725,98160.54,12289,436,0.6013793103448276
95,JN1CV6AR2DM769499,482,16154.44,3032,1495,3.1016597510373445
96,1GCEC14W2YZ282697,242,6832.3,1836,665,2.7479338842975207
97,WP0AB2A94DS122913,671,86531.47,11303,265,0.3949329359165425
98,WDBUF22X67B065065,564,8671.61,1781,44,0.07801418439716312
99,WAUGVAFR6BA035549,343,19528.76,3670,170,0.4956268221574344
100,1G1YY32GXY5117776,588,20089.16,3850,325,0.5527210884353742
101,1G2WJ12X3RF286724,362,8744.98,1643,4,0.011049723756906077
102,WBA8J1C58JA485963,175,35670.84,4224,280,1.6
