ID,Page_Number,Make,Model,Mileage,VIN,Title Status,Location,Engine,Drivetrain,Transmission,Body Style,Exterior Color,Interior Color,Price,Sold Type,Num Bids,Y_N_Reserve,Year,Date,URL
0,0,Mercedes-Benz,C32 AMG,154500,WDBRF65J42F216118,Clean,21611,V6,Rear-wheel drive,Automatic,Sedan,None,None,6100,Sold For,34,No Reserve,2002,8-18-2023,https://carsandbids.com/auctions/3BqaG11B/2002-mercedes-benz-c32-amg
1,0,Porsche,Boxster,48100,WP0CA2A80ES120127,Clean,12012,Flat-6,Rear-wheel drive,Manual,Convertible,None,None,37250,Sold For,40,Reserve,2014,8-18-2023,https://carsandbids.com/auctions/rNk6D0Bb/2014-porsche-boxster
2,0,Mercedes-Benz,190E,97400,WDBDA34D0HF374323,Clean,37432,I4,Rear-wheel drive,Manual,Sedan,None,None,11100,Bid To,10,Reserve,1986,8-18-2023,https://carsandbids.com/auctions/3zWRXYv1/1986-mercedes-benz-190e-23-16
3,0,Alfa Romeo,Spider,20400,ZARBB32N8P7007797,Clean,70077,I4,Rear-wheel drive,Manual,Convertible,None,None,16000,Sold For,32,No Reserve,1993,8-17-2023,https://carsandbids.com/auctions/9AJAnnVe/1993-alfa-romeo-spider-veloce
4,0,Chevrolet,Camaro,28200, 2G1FP22P0T2155445,Clean,21554,V8,Rear-wheel drive,Manual,Coupe,None,None,14700,Sold For,31,Reserve,1996,8-18-2023,https://carsandbids.com/auctions/9lRR7gag/1996-chevrolet-camaro-z28-ss-coupe
5,0,Toyota,4Runner,256800,JT3HN86R919049479,Clean,91904,V6,4WD/AWD,Automatic,SUV/Crossover,None,None,8200,Sold For,24,No Reserve,2001,8-18-2023,https://carsandbids.com/auctions/3OWxoQXy/2001-toyota-4runner-sr5-4x4
6,0,BMW,128i,135800,WBAUP7C58CVP23032,Clean,23032,I6,Rear-wheel drive,Automatic,Coupe,None,None,8000,Sold For,34,No Reserve,2012,8-18-2023,https://carsandbids.com/auctions/3g6M1ENo/2012-bmw-128i-coupe
7,0,Tesla,Model S,63000,5YJSA1E18GF139026,Clean,13902,Electric,Rear-wheel drive,Automatic,Sedan,None,None,26000,Sold For,40,Reserve,2016,8-18-2023,https://carsandbids.com/auctions/3o0WW8jv/2016-tesla-model-s-70
8,0,Subaru,Impreza,41300,JF1GM6750YG402147,Clean,40214,Flat-4,4WD/AWD,Manual,Coupe,None,None,29250,Sold For,54,No Reserve,2000,8-18-2023,https://carsandbids.com/auctions/9n6PnxkX/2000-subaru-impreza-25-rs-coupe
9,0,Mercedes-Benz,S600,71800,WDDNG76X87A086117,Clean,8611,V12,Rear-wheel drive,Automatic,Sedan,None,None,81723,Sold For,23,Reserve,2007,8-17-2023,https://carsandbids.com/auctions/3gg1aQG8/2007-mercedes-benz-s600
10,0,Jeep,Grand Cherokee,24600,1C4RJFDJ5DC503764,Clean,50376,V8,4WD/AWD,Automatic,SUV/Crossover,None,None,39040,Sold For,47,Reserve,2013,8-18-2023,https://carsandbids.com/auctions/rMP7dN5k/2013-jeep-grand-cherokee-srt8
11,0,Audi,TT,1200,TRUBFAFK0E1005227,Clean,10052,I4,4WD/AWD,Automatic,Coupe,None,None,38000,Sold For,56,Reserve,2013,8-17-2023,https://carsandbids.com/auctions/KD1RV2Zp/2013-audi-tt-20t-quattro-coupe
12,0,BMW,323i,59600,WBACE71090EU86927,Clean,71090,I6,Rear-wheel drive,Manual,Wagon,None,None,22500,Sold For,29,No Reserve,1997,8-17-2023,https://carsandbids.com/auctions/30x8ZAop/1997-bmw-323i-touring
13,0,Nissan,Altima,64700,1N4BL2EPXAC172530,Clean,17253,V6,Front-wheel drive,Manual,Coupe,None,None,8600,Sold For,39,No Reserve,2010,8-18-2023,https://carsandbids.com/auctions/9QYB5BDE/2010-nissan-altima-35-sr-coupe
14,0,Mercedes-Benz,GLA 45 AMG,26200,WDDTG5CB7JJ474967,Clean,47496,I4,4WD/AWD,Automatic,SUV/Crossover,None,None,35500,Sold For,9,Reserve,2018,8-18-2023,https://carsandbids.com/auctions/9XM818qO/2018-mercedes-amg-gla45
15,0,Nissan,Z,4400,JN1BZ4BH4PM310344,Clean,31034,V6,Rear-wheel drive,Automatic,Coupe,None,None,54000,Bid To,20,Reserve,2023,8-18-2023,https://carsandbids.com/auctions/rxq5lZjQ/2023-nissan-z-proto-spec
16,0,Mercedes-Benz,C63 AMG,72300,WDDGJ7HB8CF841677,Clean,84167,V8,Rear-wheel drive,Automatic,Coupe,None,None,21800,Bid To,22,Reserve,2012,8-17-2023,https://carsandbids.com/auctions/9XpRdlk7/2012-mercedes-benz-c63-amg-coupe
17,0,Mazda,MX-5 Miata,46500,JM1NA3513L0158987,Clean,1589,I4,Rear-wheel drive,Manual,Convertible,None,None,12500,Sold For,10,Reserve,1990,8-17-2023,https://carsandbids.com/auctions/KdELO17x/1990-mazda-mx-5-miata
18,0,Acura,NSX,85100,JH4NA21653T000157,Clean,21653,V6,Rear-wheel drive,Manual,Coupe,None,None,82501,Bid To,15,Reserve,2003,8-18-2023,https://carsandbids.com/auctions/KdAAkZQ5/2003-acura-nsx-t
19,0,Toyota,Land Cruiser,173400,KZJ950013602,Clean,95001,I4,4WD/AWD,Manual,SUV/Crossover,None,None,12000,Sold For,40,Reserve,1996,8-17-2023,https://carsandbids.com/auctions/3B05n62d/1996-toyota-land-cruiser-prado-tx-4x4
20,0,Bentley,Arnage,81000,SCBLF34F12CX08614,Clean,8614,V8,Rear-wheel drive,Automatic,Sedan,None,None,19250,Sold For,11,Reserve,2002,8-18-2023,https://carsandbids.com/auctions/rjRWxD7r/2002-bentley-arnage-t
21,0,Mazda,MX-5 Miata,25700,JM1NB353520225828,Clean,35352,I4,Rear-wheel drive,Manual,Convertible,None,None,10000,Sold For,16,No Reserve,2002,8-18-2023,https://carsandbids.com/auctions/9lLelPB2/2002-mazda-mx-5-miata-special-edition
22,0,Chevrolet,Impala,75400,1G1BL52P0SR158160,Clean,15816,V8,Rear-wheel drive,Automatic,Sedan,None,None,13100,Sold For,4,No Reserve,1995,8-17-2023,https://carsandbids.com/auctions/36QABzOn/1995-chevrolet-impala-ss
23,0,BMW,M240i,61300,WBA2J7C5XKVD61361,Clean,61361,I6,4WD/AWD,Automatic,Coupe,None,None,31000,Sold For,36,Reserve,2019,8-17-2023,https://carsandbids.com/auctions/9n7VW5Xv/2019-bmw-m240i-xdrive-coupe
24,0,Lexus,GS 400,131400,JT8BH68X2W0001941,Clean,19,V8,Rear-wheel drive,Automatic,Sedan,None,None,9200,Sold For,21,No Reserve,1998,8-18-2023,https://carsandbids.com/auctions/30AXXGGL/1998-lexus-gs-400
25,0,Toyota,Pickup,121800,JT4RN13PXM6024476,Clean,60244,I4,4WD/AWD,Manual,Truck,None,None,19000,Sold For,35,Reserve,1991,8-18-2023,https://carsandbids.com/auctions/3vkLXJBM/1991-toyota-pickup-deluxe-xtracab-4x4
26,0,Dodge,Viper,13400,1B3JZ65Z04V101795,Clean,10179,V10,Rear-wheel drive,Manual,Convertible,None,None,50500,Bid To,37,Reserve,2004,8-17-2023,https://carsandbids.com/auctions/37QQoZ5D/2004-dodge-viper-srt-10-convertible
27,0,Jeep,Wagoneer,75300,1J4FN78L1LL275909,Clean,27590,I6,4WD/AWD,Automatic,SUV/Crossover,None,None,15250,Sold For,26,Reserve,1990,8-18-2023,https://carsandbids.com/auctions/KmJWxjpe/1990-jeep-wagoneer-limited-4x4
